employee_id,department,salary,tenure,engagement_score,attrition,last_promotion_date,working_hours_per_month,kpi_score,work_life_balance_score,overtime_hours,job_satisfaction,number_of_projects,distance_from_home,trainings_and_certifications,hire_date,engagement_trend
E0047,GRCS,58853.46,6.1,3.31,0,2023-05-11,179.4,27.1,3,6,3,1,25,4,2019-07-16,
E0048,GRCS,76378.18,6.8,1.74,0,2025-03-11,179.3,4.2,2,1,3,4,38,3,2023-01-20,3.503333333333334
E0049,Finance,69105.04,1.8,4.04,0,2021-12-01,169.9,48.2,2,2,4,4,42,2,2020-06-03,2.716666666666667
E0050,Product Engineering,95636.56,2.1,2.62,0,2020-11-15,152.8,27.0,3,3,2,5,10,5,2018-09-02,3.0300000000000007
E0051,Business Solution,71831.03,2.24,2.18,1,2020-09-02,174.8,62.1,2,6,5,6,5,6,2021-10-29,2.8000000000000007
E0052,Product Engineering,81613.3,3.3,3.47,0,2022-03-22,158.2,46.9,2,4,3,2,8,3,2023-07-03,2.946666666666667
E0053,Product Engineering,79371.29,1.68,3.36,1,2022-09-29,138.4,25.4,1,6,5,2,33,3,2017-02-04,2.7566666666666673
E0054,Customer Success,64546.11,1.6,2.99,0,2020-12-16,151.9,13.9,2,3,3,2,37,4,2019-04-26,3.003333333333334
E0055,Product Engineering,94775.79,2.6,,0,2022-04-06,161.7,34.3,5,5,4,2,1,3,2021-10-08,3.273333333333334
E0056,Datazone,68108.59,6.8,2.82,0,2021-02-20,178.2,45.8,3,5,3,1,31,5,2025-01-04,
E0057,Finance,78396.86,1.3299999999999998,2.83,1,2023-07-08,156.3,10.6,1,4,4,2,7,5,2021-05-22,
E0058,TSS,71198.34,3.0,3.84,0,2022-08-24,135.8,10.1,2,6,3,4,47,1,2025-01-22,
E0059,PMO,55678.26,9.3,3.69,0,2024-02-20,161.1,49.7,3,3,5,4,23,3,2020-04-25,3.1633333333333336
E0060,Sales,86466.7,1.9,,0,2023-05-21,162.3,35.0,1,4,4,3,24,4,2020-04-21,3.453333333333333
E0061,HR,69354.34,3.9,4.05,0,2021-08-31,163.7,30.7,1,3,3,2,14,4,2015-08-28,
E0062,Business Solution,82612.25,7.0,3.64,0,2023-06-07,178.4,23.0,3,6,5,2,23,3,2022-01-06,
E0063,Sales,50865.06,3.8,3.44,0,2023-04-21,180.4,46.3,3,4,3,2,9,3,2019-12-14,
E0064,HR,66632.76,4.9,3.57,0,2022-01-23,148.1,15.7,2,1,3,1,8,4,2015-06-03,3.7100000000000004
E0065,GRCS,71815.9,4.2,3.5,0,2022-07-21,147.7,15.3,3,9,2,2,8,3,2024-11-28,3.5500000000000003
E0066,Datazone,71815.9,3.6,3.61,0,2020-11-20,139.2,12.6,5,7,4,3,3,0,2016-02-12,3.5033333333333334
E0067,Business Solution,84025.96,5.6,3.43,0,2021-09-26,174.0,15.0,3,5,3,2,32,2,2023-09-25,3.56
E0068,TSS,55185.86,3.9,1.85,0,2024-10-28,189.0,22.6,3,4,3,3,4,3,2020-02-25,3.513333333333333
E0069,Product Engineering,98914.16,2.4,1.78,0,2022-05-13,153.7,79.5,5,2,5,5,49,5,2019-03-13,2.9633333333333334
E0070,Business Solution,65715.69,2.9,3.79,0,2021-09-02,155.2,31.5,4,4,4,5,38,5,2021-04-11,2.3533333333333335
E0071,Finance,61126.48,3.3,1.64,0,2024-03-19,189.3,36.9,3,5,2,1,2,6,2019-01-03,2.473333333333333
E0072,TSS,83215.75,2.1,2.52,0,2023-07-05,170.1,14.2,4,4,4,3,9,3,2018-07-08,2.4033333333333338
E0073,Business Solution,96273.36,2.1,2.84,1,2022-07-30,168.7,36.2,2,8,5,6,46,1,2019-07-19,2.65
E0074,Marketing and Communications,67341.05,2.7,3.74,0,2025-01-07,136.2,23.8,3,3,2,3,1,3,2017-08-10,2.3333333333333335
E0075,Marketing and Communications,64343.68,3.9,,0,2022-02-24,173.6,20.4,2,7,4,3,49,5,2016-12-07,3.0333333333333337
E0076,Business Solution,77520.14,5.6,2.44,1,2023-01-15,141.4,50.5,1,7,3,1,11,3,2015-12-14,
E0077,TSS,65798.51,3.1,2.38,0,2020-10-03,137.3,42.0,3,6,4,2,29,2,2020-07-15,
E0078,Sales,82893.13,6.2,,0,2022-03-25,153.1,18.5,2,7,3,0,26,2,2022-10-13,
E0079,Datazone,74104.35,3.8,3.34,0,2020-07-21,148.3,34.5,3,2,4,2,27,5,2015-11-07,
E0080,Product Engineering,92525.12,3.0,4.53,0,2022-12-19,155.6,55.6,3,6,1,4,38,8,2025-02-21,
E0081,Customer Success,64041.3,2.0,1.49,0,2023-09-11,131.2,62.1,3,4,4,5,29,4,2021-06-28,
E0082,PMO,80140.06,3.0,1.82,0,2022-07-23,179.2,33.3,2,6,1,6,33,2,2017-07-08,3.1199999999999997
E0083,TSS,69137.91,2.9,2.74,0,2020-11-04,182.6,46.6,2,3,3,6,28,3,2016-10-25,2.6133333333333333
E0084,PMO,71058.95,1.7,3.92,0,2022-01-28,121.1,38.8,3,6,2,6,31,1,2020-04-20,2.016666666666667
E0085,PMO,62497.07,1.9,3.31,0,2025-02-08,179.6,28.4,5,8,4,3,19,7,2020-11-03,2.8266666666666667
E0086,Marketing and Communications,50031.14,3.3,2.31,0,2022-12-16,143.8,18.0,1,3,3,3,48,0,2022-05-08,3.323333333333333
E0087,Customer Success,59706.3,6.1,3.67,0,2022-02-02,177.1,36.1,2,7,3,5,26,2,2018-04-09,3.1799999999999997
E0088,Product Engineering,88491.59,2.6,2.32,0,2024-07-12,158.6,26.2,4,15,3,2,29,5,2018-09-12,3.0966666666666662
E0089,Sales,89405.88,0.9,2.34,0,2023-08-25,160.6,37.1,1,7,4,4,11,2,2017-07-13,2.766666666666667
E0090,Datazone,67779.61,0.2799999999999999,1.8,1,2024-03-08,156.3,17.5,1,8,3,4,41,2,2024-06-16,2.776666666666666
E0091,Marketing and Communications,64840.47,1.3,2.9,0,2021-06-30,184.2,36.6,3,3,4,4,32,6,2021-07-04,2.153333333333333
E0092,Business Solution,66374.27,2.8,2.2,1,2022-07-14,135.2,15.6,3,4,2,5,21,5,2024-04-24,2.3466666666666667
E0093,GRCS,69180.07,1.1,3.91,0,2021-06-20,172.2,12.3,3,5,2,4,38,1,2023-10-27,2.3000000000000003
E0094,Business Solution,78004.26,4.4,1.76,0,2022-05-19,182.0,54.1,2,6,3,6,34,1,2019-12-02,3.003333333333334
E0095,Sales,61866.49,3.9,2.65,0,2025-01-21,174.3,33.4,3,6,5,3,40,1,2018-01-30,2.6233333333333335
E0096,GRCS,73896.83,2.5,2.68,0,2024-11-12,200.0,11.6,4,4,2,0,22,4,2019-08-27,2.7733333333333334
E0097,Sales,60221.18,1.7,3.98,0,2022-07-08,149.4,28.3,4,1,1,2,48,4,2023-06-25,2.3633333333333333
E0098,TSS,71083.25,2.3,3.59,0,2025-04-03,179.1,32.0,3,6,2,5,27,5,2020-04-20,3.1033333333333335
E0099,Datazone,85582.8,2.31,3.31,1,2023-12-05,157.9,37.3,1,10,4,1,8,1,2021-01-16,3.4166666666666665
E0100,TSS,66001.11,0.77,1.83,1,2025-03-30,184.7,46.3,2,4,3,2,40,5,2017-03-29,3.626666666666667
E0101,Customer Success,83206.97,5.8,4.2,0,2023-09-05,159.8,30.7,3,2,4,7,46,4,2023-04-02,2.91
E0102,PMO,74106.17,3.3,3.34,0,2023-05-12,152.2,16.3,3,2,2,2,31,2,2016-07-24,3.1133333333333333
E0103,GRCS,67767.8,3.5,2.45,0,2022-02-23,186.1,11.3,4,5,2,5,1,6,2017-09-04,3.123333333333333
E0104,Product Engineering,92142.84,3.9,1.91,0,2021-06-16,150.2,29.2,3,7,3,4,39,2,2019-02-13,3.3299999999999996
E0105,HR,71053.72,5.5,4.31,0,2024-08-13,131.7,39.1,3,7,4,2,34,3,2022-01-16,2.566666666666667
E0106,Sales,77339.54,3.0,2.34,0,2024-06-24,149.7,21.2,4,9,4,2,47,4,2024-10-06,2.89
E0107,Business Solution,66598.38,4.0,2.69,0,2021-01-20,172.4,17.6,3,4,2,1,24,3,2021-07-03,2.853333333333333
E0108,Finance,87210.25,1.7,2.64,0,2020-09-06,187.8,17.8,1,7,5,0,28,2,2016-10-26,3.1133333333333333
E0109,TSS,77729.15,6.8,3.31,0,2021-03-19,162.2,18.5,3,5,3,2,4,4,2021-12-29,2.5566666666666666
E0110,HR,69669.6,2.9,2.14,0,2021-07-31,186.4,28.7,3,7,4,3,18,1,2015-07-09,2.8800000000000003
E0111,Finance,59475.87,1.19,3.3,1,2021-08-23,132.8,24.4,1,9,3,3,29,1,2019-10-13,2.6966666666666668
E0112,Product Engineering,94274.16,1.4,2.25,1,2023-11-15,151.1,10.0,3,5,3,2,23,0,2024-05-30,2.9166666666666665
E0113,Business Solution,71214.5,0.6,4.49,0,2020-10-27,154.2,50.7,3,5,4,3,37,1,2017-05-20,2.563333333333333
E0114,Customer Success,51462.24,2.0,2.59,0,2023-07-22,157.7,45.7,3,5,4,2,27,2,2023-01-07,3.3466666666666662
E0115,Product Engineering,94961.79,0.3,3.79,0,2023-07-12,161.7,20.3,3,5,3,5,16,3,2021-07-21,3.11
E0116,Business Solution,70985.73,4.2,1.76,0,2024-04-06,173.8,27.1,2,5,3,2,45,6,2019-09-29,3.6233333333333335
E0117,Finance,50518.23,3.4,,0,2024-10-12,151.1,12.4,2,8,3,3,27,3,2025-03-24,2.7133333333333334
E0118,Product Engineering,69460.89,1.4,4.6,0,2022-06-03,162.8,21.3,5,2,4,1,9,2,2021-10-06,
E0119,GRCS,71641.65,2.6,1.03,0,2024-12-26,159.1,1.8,3,6,3,4,5,3,2021-08-08,
E0120,Business Solution,76410.77,2.7,2.94,0,2020-05-18,141.5,21.3,1,6,4,0,8,1,2017-02-15,
E0121,Product Engineering,107452.96,1.2,2.82,0,2021-04-03,157.7,36.2,2,6,3,1,18,3,2019-04-05,2.856666666666667
E0122,PMO,82361.27,2.3,1.3,0,2024-11-06,157.1,22.9,3,1,1,6,35,2,2023-04-21,2.263333333333333
E0123,Datazone,68662.52,2.7,2.72,0,2022-07-20,156.7,23.8,4,10,3,3,6,1,2015-09-16,2.353333333333333
E0124,Finance,74172.8,1.61,1.87,1,2023-03-05,160.6,43.9,2,7,2,4,43,4,2024-10-31,2.28
E0125,Sales,92759.63,1.7,2.36,0,2021-03-25,161.5,32.4,2,3,3,5,23,3,2020-11-11,1.9633333333333332
E0126,Business Solution,93967.81,1.3,3.97,0,2022-10-11,151.4,15.6,5,0,3,8,46,3,2019-01-18,2.3166666666666664
E0127,Product Engineering,74229.1,2.2,2.32,0,2023-12-24,185.5,39.2,3,7,4,7,26,2,2016-05-10,2.733333333333333
E0128,TSS,59833.15,1.8,4.46,0,2021-08-17,136.6,23.3,3,4,3,3,39,3,2023-03-07,2.8833333333333333
E0129,GRCS,93902.86,3.7,2.25,0,2024-02-21,145.6,60.2,3,6,4,3,24,3,2020-06-03,3.5833333333333335
E0130,Sales,62760.44,5.7,3.36,0,2020-04-23,200.0,25.5,2,4,3,1,10,1,2022-03-25,3.01
E0131,Finance,53380.47,4.5,1.6,0,2022-07-10,139.2,11.8,5,2,5,7,15,6,2017-04-07,3.356666666666666
E0132,Datazone,89944.02,2.8,2.68,0,2024-07-16,132.9,17.6,2,4,5,8,38,7,2017-08-29,2.4033333333333333
E0133,PMO,54386.63,1.7,2.15,0,2021-10-20,174.7,22.9,2,9,4,1,20,2,2016-01-20,2.546666666666667
E0134,Product Engineering,85437.07,4.4,3.15,0,2024-08-07,120.0,47.7,4,4,4,5,29,4,2015-12-01,2.1433333333333335
E0135,PMO,79807.02,2.66,2.94,1,2021-03-09,155.3,20.1,1,7,3,3,6,4,2020-06-17,2.66
E0136,GRCS,78256.25,5.4,2.63,0,2022-10-27,200.0,10.5,4,8,4,5,48,3,2023-08-31,2.7466666666666666
E0137,Marketing and Communications,63104.35,3.0,1.39,0,2024-08-07,129.1,13.7,3,2,5,2,9,6,2017-04-04,2.9066666666666663
E0138,Sales,57248.91,6.6,2.62,0,2021-12-21,120.4,7.0,3,2,1,3,5,4,2016-12-07,2.32
E0139,Product Engineering,72852.59,3.0,3.29,0,2021-07-31,130.0,33.0,5,5,3,4,48,1,2019-04-11,2.2133333333333334
E0140,Product Engineering,97383.59,1.7,1.92,0,2023-06-18,178.0,22.1,1,4,3,6,39,1,2024-06-05,2.433333333333333
E0141,HR,64774.94,2.0,3.33,0,2021-08-27,182.5,38.7,4,8,3,1,19,1,2017-08-03,2.61
E0142,Sales,69898.72,3.6,1.65,0,2024-11-13,149.7,41.5,2,6,3,7,5,1,2021-11-22,2.8466666666666662
E0143,PMO,71815.9,1.8,2.2,0,2024-10-16,173.7,25.1,4,9,3,3,20,7,2022-12-31,2.3000000000000003
E0144,HR,59334.33,6.6,3.1,0,2020-04-14,187.8,47.4,2,7,3,4,11,7,2021-08-05,2.393333333333333
E0145,TSS,74967.65,3.4,2.65,0,2023-01-15,195.7,5.7,3,2,5,6,27,1,2024-06-21,2.316666666666667
E0146,Customer Success,45534.01,2.7,3.63,0,2024-06-09,155.1,38.5,4,8,3,2,29,1,2022-05-31,2.6500000000000004
E0147,GRCS,63388.64,2.9,1.21,0,2020-06-12,120.0,48.7,3,3,4,0,7,2,2025-04-10,3.1266666666666665
E0148,TSS,77998.13,2.3,2.96,0,2021-03-26,143.6,26.3,4,5,3,1,3,1,2017-11-29,2.4966666666666666
E0149,HR,48299.96,0.8,2.71,0,2023-05-15,151.5,18.8,4,4,3,4,5,1,2022-05-05,2.5999999999999996
E0150,Product Engineering,84874.09,2.0,3.55,0,2022-11-24,154.8,54.9,4,5,3,3,13,2,2016-12-19,2.2933333333333334
E0151,Finance,62809.27,6.2,3.42,0,2022-04-26,156.2,14.4,5,4,3,3,16,6,2023-08-10,3.073333333333333
E0152,Datazone,75743.98,3.1,3.0,0,2020-10-09,182.4,28.7,3,8,3,4,12,3,2022-03-23,3.2266666666666666
E0153,Sales,68330.9,4.8,3.68,0,2022-05-01,185.5,17.4,2,0,3,5,39,3,2020-01-16,3.323333333333333
E0154,Product Engineering,92380.5,4.8,1.08,0,2025-02-08,156.6,16.3,1,7,3,1,27,3,2015-11-03,3.366666666666667
E0155,HR,39341.97,2.6,1.9,0,2020-12-13,182.0,10.4,2,4,4,7,45,3,2021-08-02,2.586666666666667
E0156,Marketing and Communications,62767.08,2.73,1.76,1,2021-01-04,167.2,51.9,2,7,3,6,33,6,2018-12-24,2.22
E0157,Business Solution,79244.47,0.8,3.71,0,2024-05-31,161.3,14.1,3,2,3,2,15,4,2022-10-29,1.58
E0158,Finance,66539.68,4.13,,1,2020-11-14,178.1,19.4,1,5,4,3,21,3,2022-11-06,2.4566666666666666
E0159,Marketing and Communications,69830.32,5.6,1.57,0,2024-10-24,161.4,37.1,1,3,2,4,44,4,2019-04-20,
E0160,Sales,56199.69,3.6,2.75,0,2021-05-08,200.0,26.7,1,1,3,1,17,2,2021-06-14,
E0161,Customer Success,64020.53,3.1,,0,2021-05-16,131.2,18.2,4,3,1,4,37,3,2016-12-21,
E0162,Customer Success,57301.3,2.6,2.29,0,2024-04-28,149.7,17.3,3,4,2,7,49,2,2021-07-13,
E0163,GRCS,65840.61,5.1,1.6,0,2024-12-16,157.5,27.5,3,4,3,1,15,4,2024-07-18,
E0164,Datazone,70721.34,4.1,2.47,0,2021-09-08,168.8,18.1,4,7,1,3,20,6,2021-05-20,
E0165,Business Solution,79923.65,0.2,4.48,0,2022-07-15,185.4,39.1,1,9,3,1,19,2,2016-04-24,2.12
E0166,PMO,69521.56,1.47,3.76,1,2024-10-08,159.5,37.9,2,3,4,4,1,6,2022-01-20,2.85
E0167,Finance,72231.87,1.2,2.83,0,2023-11-18,131.6,29.7,3,3,2,4,4,4,2019-12-23,3.5700000000000003
E0168,TSS,75107.23,1.1,2.73,0,2022-01-31,176.9,35.3,2,5,3,2,3,1,2018-07-06,3.69
E0169,Customer Success,41062.82,3.5,2.64,1,2024-11-13,175.1,19.4,2,3,5,6,8,4,2017-05-12,3.106666666666667
E0170,Marketing and Communications,84592.05,2.6,3.08,0,2021-12-28,121.2,26.8,4,3,4,3,41,1,2023-01-07,2.733333333333333
E0171,TSS,78984.87,2.45,1.52,1,2022-12-07,159.9,18.2,1,7,3,4,44,2,2016-11-03,2.8166666666666664
E0172,GRCS,81504.93,2.8,1.74,0,2023-09-04,128.2,52.6,4,7,5,2,5,1,2018-11-21,2.4133333333333336
E0173,Finance,78331.93,0.77,3.2,1,2023-06-17,146.7,12.5,2,6,3,5,9,4,2015-08-24,2.1133333333333333
E0174,Customer Success,66551.88,0.5599999999999999,1.35,1,2024-01-04,141.9,25.1,2,8,2,3,1,6,2016-02-22,2.1533333333333333
E0175,Finance,54233.18,1.4,,1,2024-09-07,176.2,28.6,3,6,5,4,43,0,2020-12-15,2.0966666666666662
E0176,Marketing and Communications,67198.84,2.1,1.41,0,2024-02-14,162.3,26.2,2,3,4,3,30,5,2019-06-05,
E0177,Sales,68428.04,1.47,3.57,1,2021-04-23,134.3,48.7,3,7,3,3,7,5,2017-06-04,
E0178,Product Engineering,84413.82,2.2,2.5,0,2022-05-23,177.6,21.7,5,4,4,6,22,4,2024-11-20,
E0179,Datazone,73595.84,7.7,1.33,0,2022-03-12,131.3,28.1,1,4,4,1,20,1,2018-10-10,2.4933333333333336
E0180,PMO,74652.52,4.7,3.89,0,2020-10-28,166.6,34.7,3,4,2,4,29,4,2016-06-13,2.466666666666667
E0181,Datazone,69507.98,3.1,3.21,0,2023-02-27,143.7,29.4,3,5,3,1,27,0,2024-09-16,2.5733333333333337
E0182,Product Engineering,79978.98,2.6,3.16,0,2020-06-17,152.7,31.1,4,4,3,1,25,4,2018-10-22,2.81
E0183,Product Engineering,59232.59,2.6,2.84,0,2024-12-28,170.1,16.7,5,8,5,4,46,1,2025-04-04,3.4200000000000004
E0184,HR,59081.74,2.87,2.22,1,2022-03-28,170.4,10.4,2,5,1,3,35,6,2018-12-15,3.0700000000000003
E0185,Customer Success,65284.85,2.5,2.29,0,2022-02-26,186.7,19.7,5,5,4,1,27,2,2019-03-31,2.74
E0186,Business Solution,72419.07,3.15,2.17,1,2020-05-05,158.4,38.7,3,6,2,2,11,6,2020-11-14,2.4500000000000006
E0187,GRCS,64913.77,2.31,2.48,1,2020-11-19,166.1,28.9,2,5,3,2,17,4,2017-10-16,2.226666666666667
E0188,GRCS,86603.01,7.7,1.61,0,2020-10-12,151.2,25.6,4,5,4,2,31,1,2015-05-01,2.3133333333333335
E0189,HR,64983.04,2.4,3.66,0,2022-03-25,163.6,22.4,1,5,4,3,18,5,2019-12-31,2.086666666666667
E0190,Datazone,82265.49,4.9,2.26,0,2020-11-08,168.8,60.1,3,5,2,4,19,2,2017-09-29,2.5833333333333335
E0191,Product Engineering,86572.09,1.3,1.29,0,2020-07-19,158.0,57.1,3,2,3,7,38,6,2017-06-29,2.5100000000000002
E0192,Product Engineering,77756.24,1.8,2.7,0,2023-02-03,123.9,25.7,3,4,3,2,29,3,2024-06-21,2.4033333333333338
E0193,Customer Success,73605.61,7.2,3.08,0,2020-11-19,166.6,8.3,2,4,2,7,15,0,2019-07-19,2.0833333333333335
E0194,PMO,74834.73,4.4,2.22,0,2024-08-27,167.3,75.6,3,7,2,0,7,1,2018-04-02,2.356666666666667
E0195,PMO,77938.48,3.6,2.01,0,2022-04-22,146.4,82.0,5,2,4,3,37,3,2017-02-25,2.6666666666666674
E0196,Marketing and Communications,73012.89,8.8,1.68,0,2022-08-26,134.3,48.5,1,3,3,6,37,1,2015-09-21,2.436666666666667
E0197,Product Engineering,102404.13,2.6,,0,2024-05-30,189.5,23.5,4,4,2,2,7,3,2017-07-10,1.9700000000000004
E0198,Product Engineering,124652.88,4.9,1.86,0,2022-02-07,169.8,56.9,4,5,3,1,22,3,2015-07-15,
E0199,Business Solution,81314.91,5.1,2.18,0,2024-11-13,155.4,44.4,5,7,5,2,12,1,2021-05-18,
E0200,Customer Success,57745.58,6.3,2.06,0,2021-05-29,137.3,27.4,5,5,1,6,8,1,2019-05-01,
E0201,Datazone,75293.84,0.84,1.36,1,2025-02-20,143.6,31.5,3,5,4,3,18,5,2020-10-15,2.0333333333333337
E0202,Finance,56519.67,2.6,4.17,0,2025-03-08,186.1,11.6,3,2,2,2,28,2,2015-07-21,1.8666666666666671
E0203,Product Engineering,121076.44,3.2,2.56,0,2024-04-20,162.8,46.5,2,5,1,6,18,3,2018-03-31,2.5300000000000007
E0204,Customer Success,45432.25,6.3,4.39,0,2022-05-07,149.0,43.1,3,7,2,3,31,3,2019-10-18,2.696666666666667
E0205,TSS,57879.04,2.45,1.92,1,2024-04-21,170.2,24.7,2,7,3,1,17,3,2016-03-04,3.706666666666667
E0206,Datazone,95669.95,5.1,3.7,0,2023-09-29,143.7,9.7,4,5,4,3,23,6,2017-06-09,2.956666666666667
E0207,Customer Success,54132.83,1.1,,0,2021-11-25,190.0,16.7,4,7,3,4,11,1,2022-06-11,3.3366666666666673
E0208,TSS,69842.27,2.2,4.25,0,2021-01-31,187.1,13.5,2,7,4,5,15,2,2024-03-25,
E0209,Finance,102817.96,5.6,3.22,0,2021-02-08,150.7,39.3,3,10,3,5,30,4,2017-03-20,
E0210,GRCS,76921.6,2.4,2.54,0,2023-12-13,147.4,26.0,3,4,3,1,31,2,2016-05-12,
E0211,Marketing and Communications,66390.09,2.7,3.19,0,2023-04-18,120.0,44.9,1,4,3,2,6,5,2023-05-21,3.3366666666666673
